Official DOE Name	Organization	Type of School	Street	City	State	Teams	Total team leads	Total team members	Expeditions created	Expeditions published	Lessons viewed	Lessons logged	Lessons reviewed	Lessons created (forked or new)	Total research posters published by all team members	Total research posters published by all team leads	Events registered	Events attended
	MS 839		713 Caton Ave.	Brooklyn	NY	1	2	1	0	0	0	0	0	0	0	0	0	0
	PS 276 Louis Marshall School		1070 East 83 Street	Brooklyn	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Brooklyn Urban Garden Charter School		500 19th Street	Brooklyn	NY	1	2	1	0	0	39	0	0	0	0	0	4	1
	P.S./I.S.45K		84 Schaefer Street	Brooklyn	New York	1	1	0	0	0	3	0	0	0	0	0	0	0
	Johann Dekalb School/PS270		241 Emerson Place	Brooklyn	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Cold Spring Harbor High School		82 Turkey Lane	Cold Spring Harbor	NY	1	2	0	0	0	2	0	0	0	0	0	1	1
	Cranbury School		23 South Main St	Cranbury	NEW JERSEY	1	2	2	0	0	0	0	0	0	0	0	0	0
	The Masters School		49 Clinton Ave	Dobbs Ferry	New York	1	2	2	0	0	0	0	0	0	0	0	1	0
	PS 104 Bayswater School		2601 Mott Ave	Far Rockaway	New York	1	1	0	0	0	1	0	0	0	0	0	0	0
	Vaughn College of Aeronautics and Tech		86-01 23rd Avenue	Flushing	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Forest Hills High School		67-01 110th St	Forest Hills	NY	1	2	0	0	0	21	0	0	0	0	0	1	1
	The Waldorf School of Garden City		225 Cambridge Avenue	Garden City	New York	4	5	7	1	0	29	0	0	0	0	0	0	0
	Haitian-Americans United for Progress		197-17 Hillside Ave	Hollis	NY	3	2	6	0	0	0	0	0	0	0	0	0	0
	SmartStart Evaluation & Research		Smart Start Evaluation & Research, 4482 Barranca Parkway #220	Irvine	CA	1	2	0	0	0	5	0	0	0	0	0	0	0
	Cornell University		205 Fernow Hall, Department of Natural Resources,	Ithaca	New York	1	2	0	0	0	0	0	0	0	0	0	0	0
	I.S. 230		73-10 34 AVENUE	JACKSON HEIGHTS	New York	4	8	0	0	0	0	0	0	0	0	0	1	1
	IS 145 Joseph Pulitzer		3334 80th St,	Jackson Heights	NY	0	1	0	0	0	1	0	0	0	0	0	0	0
	PS80Q		171-05 137th avenue	Jamaica	Ny	1	1	0	0	0	0	0	0	0	0	0	1	0
	PS80Q		171-05 137th Avenue	Jamaica	NY	1	2	0	0	0	0	0	0	0	0	0	1	0
	The Wright Family		1 Greene Street Apt. G-3	Jersey City	New Jersey	1	2	0	0	0	0	0	0	0	0	0	1	0
	The Wright Family		1 Greene Street Apt. G-3	Jersey City	NJ	1	4	0	0	0	0	0	0	0	0	0	2	0
	Hudson Montessori		10 Regent Street	Jersey city	New Jersey	2	3	0	0	0	1	0	0	0	0	0	0	0
	Portledge School		355 Duck Pond Road	Locust Valley	NY - New York	1	2	0	0	0	0	0	0	0	0	0	3	0
	Friends Academy		270 Duck Pond Road	Locust Valley	New York	0	0	0	0	0	0	0	0	0	0	0	0	0
	Friends Academy		270 Duck Pond Road	Locust Valley	New York	1	2	5	0	0	0	0	0	0	0	0	0	0
	Hunters Point Community Middle School		1-50 51st Ave	Long Island City	NY	6	4	118	1	0	0	0	0	0	0	0	0	0
	International High School at LaGuardia C.C.		45-35 Van Dam St	Long Island City	NY	1	2	0	0	0	31	0	0	0	0	0	1	0
	HarborLAB		5311 vernon blvd	Long island city	NY	0	2	0	0	0	0	0	0	0	0	0	0	0
	Marine Education Center		123 Mamaroneck Avenue	Mamaroneck	NY	1	1	0	0	0	0	0	0	0	0	0	0	0
	Seconsett Island Society		28 Bayview Road	Mashpee	MA	1	2	0	0	0	0	0	0	0	0	0	0	0
	PS 153 Maspeth Elementary		60-02 60th LANE	Maspeth	New York	1	2	0	0	0	0	0	0	0	0	0	1	0
	Unaffiliated/None		N/A	N/A	N/A	101	201	64	48	25	152	0	0	0	1	0	26	18
	The Friends of Governors Island		10 South Street, Slip 7	New York	New York	1	2	0	0	0	1	0	0	0	0	0	0	0
